date|text|id|author|acknowledged|opposed|neutral|unrelated
2020-12-01 21:50:46|Organizers of today's #SickOutBC are not ruling out another protest before #Christmas.   Langley mom Miranda Tracy (@mjt8080) says many parents --and teachers-- do not trust public health claims #COVID19 transmission rates among children are low.    #bced #bcpoli @NEWS1130|1333891313595539712|Bernardo1130|0|0|1|0
2020-12-18 15:47:47|So questionnn the people administering the vaccine are they getting it they self??? #vaccine  #COVID19|1339960561975619584|ken_love_6|0|1|0|0
2020-12-09 02:22:55|President #Trump to sign decree that prioritises American citizens getting access to #coronavirus vaccine before other nations.|1336496517985648640|fx16news|0|0|1|0
2020-12-09 03:22:03|Hey @realDonaldTrump  I need a #Pardon too, a #rentpardpn for the last six months of rent because of how you fucked up the #COVID19 pandemic response!|1336511399695011840|askamantoo|1|0|0|0
2020-12-04 23:51:54|Wow they got transformers 7 coming out in the summer we better hope this #COVID19 will be going away|1335008961444122624|Squirt47157576|0|0|1|0
2020-12-03 23:05:13|"""Vaccine will be available in the coming weeks,"" says @DrBonnieHenry  #COVID19BC  #COVID19"|1334634825790213888|ianabailey|0|0|1|0
2020-12-02 19:18:09|Just because politicians are human (and therefore hypocrites) does not necessarily mean their recommendations should not be followed #justsayin' #COVID19|1334215295624384512|LizThatGirlCA|1|0|0|0
2020-12-13 01:34:20|You want the truth about #COVID19 ? Do some research. Google search your area population numbers, and then google your area’s COVID-19 cases...you’ll be amazed at how many more cases there are than people...🤨😳 #MAGA|1337933845308563712|brittanynoel987|0|1|0|0
2020-12-16 10:53:35|so the #corona has done century|1339161746091745280|imranbhinder4|1|0|0|0
2020-12-14 21:35:33|In Indiana, a Hoosier died of COVID-19 every 41 minutes and 22 seconds in the last 24 hours. #COVID19|1338598526117416704|JimThornton21|0|0|1|0
2020-12-13 16:18:30|Hey teachers: Thank you for all of your efforts in 2020! All students and teachers are working daily to survive a global pandemic  😷 #COVID|1338156349172174848|mroseb|1|0|0|0
2020-12-02 17:53:02|Cases: 64,174,915 (+77,764)  Deaths: 1,486,681 (+0)  Recovered: 41,249,718 (+48,794)  Active Cases: 22,925,197 (35.72%) Completed Cases: 42,736,399 (66.59%) Mortality Rate: 2.32% (No Change) Case Fatality Rate: 3.48% (No Change)  #COVID19 #Coronavirus #StayHome|1334193876660314112|_covid_19_bot_|0|0|1|0
2020-12-05 06:04:16|In the U.S. 14,700,000+ cases and 285,000+ deaths.  *worldometer   #COVID  #TrumpVirusCatastrophe #BlameTrump|1335102669896105984|YM892|1|0|0|0
2020-12-02 19:27:14|One American is dying every minute from #COVID, 24/7. #TrumpLiedPeopleDied @dougducey|1334217582795059200|RealSouthwest|1|0|0|0
2020-12-06 07:35:41|Nobody dies from anything anymore but #covid and nobody questions this? #COVIDIOTS|1335488064202924032|20DaysofRain|0|1|0|0
2020-12-12 15:25:48|#BREAKING: #Ontario reports 1,873 new #Covid19 cases today: Toronto 522 Peel 436 York 185 Hamilton 109  17 deaths reported &amp;  1,918 more resolved cases.|1337780700213374720|LoisLeeTV|0|0|1|0
2020-12-13 00:59:44|Today, Johns Hopkins reports 297,697 covid deaths in the US. If it were a single city, the covid graveyard would now pass Pittsburgh, PA to become the 68th largest metro market in the country. #COVID19 #COVID @PittsburghPG @Pittsburgh|1337925134234103808|EuroSatan|0|0|1|0
2020-12-17 17:49:55|35K new #COVID19 cases in the UK today 👀👀👀|1339628906601562112|MarkEglinton|0|0|1|0
2020-12-01 23:00:46|So #Dartmouth surplus is now  closed and wasauctioned off today... There will be many more gone before life finds its new normal. #COVID|1333908931069026304|RobRafuse|1|0|0|0
2020-12-04 21:33:22|Just occurred to me that most people actually think they are going to have a choice regarding this #COVID19 vaccine ...|1334974100830384128|ShannonJoyRadio|0|1|0|0
2020-12-02 07:17:20|#BREAKING: #UK approves #Pfizer-#BioNTech vaccine, set to be rolled out next week. #Coronavirus #CoronaVirusUpdates #CoronavirusVaccine|1334033897286340608|W0lverineupdate|0|0|1|0
2020-12-12 17:28:17|Shaadi's have become the breeding groud for #Corona|1337811523054362624|uncanny_piscean|1|0|0|0
2020-12-16 16:34:48|According to a survey by @Alignable ,50% Of B2C Business Owners reported they are At Risk Of Failing!  Congressional Leaders,  clock is ticking,  sit at the table and don't leave till you have a deal,  #COVID19 #coronavirus #stimuluspackage #SmallBusinesses #Entrepreneurship|1339247615209210112|HMoneyTalks1|0|0|0|1
2020-12-14 02:08:30|Was there a cure for influenza that big pharma didn't share with us???? #COVID19|1338304828519288832|GhostGirlInCO|0|1|0|0
2020-12-02 22:27:37|It’s a good day to be a science geek 👏🏽 #COVID19 #vaccine|1334262977202171904|tweet_bells|1|0|0|0
